RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-08-06-001,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-037,decomposition,DEL-08-06 implements scope item SOW-037: Formalize unified pipeline run record schema/persistence,Datasheet.md,Identification > Scope Coverage,Scope Coverage: SOW-037,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Parent anchor to scope item SOW-037 (TBD status per OI-037).
v3.1,DEP-08-06-002,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,WBS_NODE,,,,OBJ-007,decomposition,DEL-08-06 supports objective OBJ-007: Optional integrity hardening loop,Datasheet.md,Identification > Supports Objectives,Supports Objectives: OBJ-007,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Traces to OBJ-007 as confirmed by decomposition.
v3.1,DEP-08-06-003,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,WBS_NODE,,,,OI-037 / SOW-037 Scope Decision,decomposition,Implementation SHALL NOT commence until SOW-037 has been flipped from TBD to IN (OI-037 resolved),Specification.md,Scope > Scope Prerequisite Gate,Implementation phases SHALL NOT commence until SOW-037 has been flipped from TBD to IN,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Explicit SHALL-level prerequisite gate (REQ-SCOPE-GATE).
v3.1,DEP-08-06-004,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-08,DEL-08-07,,Staleness Propagation + Triage Tooling,,DEL-08-07 depends on this deliverable for run records with baseline SHAs to enable staleness detection,Datasheet.md,Attributes > Downstream consumers,DEL-08-07 (Staleness Propagation + Triage Tooling) -- depends on run records with baseline SHAs,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Explicit downstream dependency stated in Datasheet and Specification.
v3.1,DEP-08-06-005,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-08,DEL-08-04,,On-demand Dependency Graph Generator,,DEL-08-04 status informs whether graph-level SHA computation is available for baseline SHA tracking,Procedure.md,Prerequisites > #6,DEL-08-04 (Dependency Graph Generator) status known -- informs whether graph-level SHA computation is available,EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Explicit prerequisite in Procedure. Informational dependency -- status knowledge needed not artifact transfer.
v3.1,DEP-08-06-006,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-08,DEL-08-05,,Deliverable-level Lock Mechanism,,DEL-08-05 status informs whether concurrent execution protection exists; lock protocol used if available,Procedure.md,Prerequisites > #7,DEL-08-05 (Lock Mechanism) status known -- informs whether concurrent execution protection exists,EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Explicit prerequisite in Procedure. Step 2.1 states use lock protocol if available.
v3.1,DEP-08-06-007,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-05,DEL-05-04,,Dependency Tracking File Contract (v3.1),,Dependencies.csv v3.1 schema used as pattern reference for schema versioning and CSV-based structured data,Specification.md,Standards,SPEC Section 6 (Dependencies.csv v3.1) -- Pattern reference for schema versioning and CSV-based structured data,EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Explicit reference to Dependencies.csv v3.1 as pattern model. Also referenced in Guidance C2.
v3.1,DEP-08-06-008,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-08,DEL-08-02,,Dependencies.csv v3.1 Schema Linter,,Run record schema linting may share infrastructure with DEL-08-02 Dependencies.csv linter approach,Datasheet.md,Construction > Validation,run-record schema linting (may share infrastructure with DEL-08-02 Dependencies.csv linter approach),EXPLICIT,TBD,TBD,TBD,LOW,EXTRACTED,2026-02-21,2026-02-24,RETIRED,"ASSUMPTION. Stated as a possibility (""may share""); not a hard dependency. Confidence LOW due to conditional phrasing."
v3.1,DEP-08-06-009,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,docs/SPEC.md,docs/SPEC.md,SPEC.md required for snapshot conventions (Sec 11) and Dependencies.csv v3.1 pattern (Sec 6) and STATUS.md format (Sec 3) and DEPENDENCIES.md format (Sec 5),Procedure.md,Prerequisites > #2,docs/SPEC.md Section 11 (Snapshot and Pointer Conventions) accessible and current,EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Prerequisite #2 and #4 in Procedure. Status is Available per Procedure.
v3.1,DEP-08-06-010,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,docs/CONTRACT.md,docs/CONTRACT.md,CONTRACT.md invariant catalog (K-SNAP-1 K-VAL-1 K-STALE-1 K-PROV-1) required as normative input,Procedure.md,Prerequisites > #3,docs/CONTRACT.md invariant catalog (K-SNAP-1 K-VAL-1 K-STALE-1) accessible,EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Prerequisite #3 in Procedure. Status is Available per Procedure.
v3.1,DEP-08-06-011,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,docs/DIRECTIVE.md,docs/DIRECTIVE.md,DIRECTIVE.md provides filesystem-as-state and git-as-event-store constraints governing run record design,Guidance.md,Principles > P3,DIRECTIVE Section 2.1 (filesystem is the database); DIRECTIVE Section 2.2 (git is the event store),EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. Multiple explicit references across all source documents.
v3.1,DEP-08-06-012,PKG-08,DEL-08-06,Unified Pipeline Run Record Persistence,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,docs/PLAN.md,docs/PLAN.md,PLAN.md Section 3.6 is the primary description of run record persistence as a hardening candidate,Datasheet.md,References > Ref 1,Primary description of run record persistence as a hardening candidate,EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-21,2026-02-24,RETIRED,FACT. PLAN Section 3.6 is the originating source for this deliverable scope.
