RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-06-03-001,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-020,decomposition SSOW table,DEL-06-03 implements SOW-020: Support cross-deliverable operations as opt-in human-triggered workflows writing outputs under tool roots as immutable snapshots,Datasheet.md,Identification > Scope Coverage,"Scope Coverage: SOW-020",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Confirmed in decomposition scope ledger: SOW-020 maps to PKG-06 / DEL-06-03.
v3.1,DEP-06-03-002,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-004,decomposition Objectives,DEL-06-03 supports OBJ-004: Filesystem-as-state execution model is SPEC-conformant and auditable,Datasheet.md,Identification > Objectives,"OBJ-004, OBJ-006 (ASSUMPTION -- best-effort mapping via PKG-06 package-grouping heuristic)",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,ASSUMPTION. Objective mapping is best-effort via PKG-06 package-grouping heuristic per Datasheet.
v3.1,DEP-06-03-003,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-006,decomposition Objectives,DEL-06-03 supports OBJ-006: Validation posture and governance/agent-suite conformance enable repeatable operation,Datasheet.md,Identification > Objectives,"OBJ-004, OBJ-006 (ASSUMPTION -- best-effort mapping via PKG-06 package-grouping heuristic)",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,ASSUMPTION. Objective mapping is best-effort via PKG-06 package-grouping heuristic per Datasheet.
v3.1,DEP-06-03-004,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,AGENT_AGGREGATION.md,agents/AGENT_AGGREGATION.md,This deliverable requires reading AGENT_AGGREGATION.md as an explicit input for conformance assessment of the AGGREGATION cross-deliverable workflow agent,Procedure.md,Prerequisites > Required References,"Agent instruction review",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Required reference for conformance assessment. Also listed in Datasheet References.
v3.1,DEP-06-03-005,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,AGENT_RECONCILIATION.md,agents/AGENT_RECONCILIATION.md,This deliverable requires reading AGENT_RECONCILIATION.md as an explicit input for conformance assessment of the RECONCILIATION cross-deliverable workflow agent,Procedure.md,Prerequisites > Required References,"Agent instruction review",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Required reference for conformance assessment. Also listed in Datasheet References.
v3.1,DEP-06-03-006,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,AGENT_ESTIMATING.md,agents/AGENT_ESTIMATING.md,This deliverable requires reading AGENT_ESTIMATING.md as an explicit input for conformance assessment of the ESTIMATING cross-deliverable workflow agent,Procedure.md,Prerequisites > Required References,"Agent instruction review",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Required reference for conformance assessment. Also listed in Datasheet References.
v3.1,DEP-06-03-007,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,SCHEDULING.md,.claude/agents/SCHEDULING.md,This deliverable requires reading SCHEDULING.md as an explicit input for conformance assessment of the SCHEDULING cross-deliverable workflow agent,Procedure.md,Prerequisites > Required References,"Agent instruction review",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Required reference for conformance assessment. Also listed in Datasheet References.
v3.1,DEP-06-03-008,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,SPEC.md,docs/SPEC.md,R-PRE-001 requires SPEC.md to be accessible before conformance assessment; R-003 references SPEC Section 1.2 for tool root mapping,Specification.md,Requirements > Preconditions > R-PRE-001,"Before conformance assessment can be considered valid the following governing documents MUST be accessible",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Governing document required per R-PRE-001.
v3.1,DEP-06-03-009,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,CONTRACT.md,docs/CONTRACT.md,R-PRE-001 requires CONTRACT.md to be accessible; R-005 references K-WRITE-1; R-004 references K-SNAP-1,Specification.md,Requirements > Preconditions > R-PRE-001,"Before conformance assessment can be considered valid the following governing documents MUST be accessible",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Governing document required per R-PRE-001.
v3.1,DEP-06-03-010,PKG-06,DEL-06-03,Cross-deliverable Workflow Support,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,DIRECTIVE.md,docs/DIRECTIVE.md,R-PRE-001 requires DIRECTIVE.md to be accessible; R-001 references Section 2.3 for human authority,Specification.md,Requirements > Preconditions > R-PRE-001,"Before conformance assessment can be considered valid the following governing documents MUST be accessible",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Governing document required per R-PRE-001.
