RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-05-03-001,PKG-05,DEL-05-03,Lifecycle State Handling,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-05,,SOW-016,SOW-016 — Lifecycle via _STATUS.md canonical states,Decomposition Scope Ledger,DEL-05-03 implements SOW-016: Ensure deliverable lifecycle is represented by _STATUS.md using canonical states and transition rules.,Datasheet.md,Datasheet.md > Identification > Scope Coverage,Scope Coverage: SOW-016,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Parent anchor confirmed in decomposition Scope Ledger row for SOW-016.
v3.1,DEP-05-03-002,PKG-05,DEL-05-03,Lifecycle State Handling,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-004,OBJ-004 — Filesystem-as-state execution model is SPEC-conformant and auditable,Decomposition Objectives,DEL-05-03 supports OBJ-004: lifecycle state handling is one of the core mechanisms that makes the execution model auditable.,Datasheet.md,Datasheet.md > Identification > Supports Objectives,Supports Objectives: OBJ-004,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Objective alignment confirmed in Guidance Purpose section and decomposition deliverable table.
v3.1,DEP-05-03-003,PKG-05,DEL-05-03,Lifecycle State Handling,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,K-STATUS-1,CONTRACT K-STATUS-1 — _STATUS.md is sole authoritative lifecycle state file,docs/CONTRACT.md,DEL-05-03 operationalizes invariant K-STATUS-1: No other file determines deliverable state.,Specification.md,Specification.md > Requirements > REQ-01,"_STATUS.md MUST be the sole authoritative lifecycle state file for each deliverable",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Binding invariant explicitly cited in REQ-01 and Guidance Purpose.
v3.1,DEP-05-03-004,PKG-05,DEL-05-03,Lifecycle State Handling,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,K-AUTH-1,CONTRACT K-AUTH-1 — Only humans author approvals,docs/CONTRACT.md,DEL-05-03 enforces K-AUTH-1: only humans may transition to CHECKING and ISSUED.,Specification.md,Specification.md > Requirements > REQ-07,"Only humans may transition to CHECKING and ISSUED",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Binding invariant explicitly cited in REQ-07 and Datasheet Conditions.
v3.1,DEP-05-03-005,PKG-05,DEL-05-03,Lifecycle State Handling,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,K-AUTH-2,CONTRACT K-AUTH-2 — Approval binds to git SHA,docs/CONTRACT.md,DEL-05-03 enforces K-AUTH-2: approval SHA binding such that content change after approval voids it.,Specification.md,Specification.md > Requirements > REQ-08,"approval binds to a specific git SHA; content change after approval voids",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Binding invariant explicitly cited in REQ-08.
v3.1,DEP-05-03-006,PKG-05,DEL-05-03,Lifecycle State Handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-05,DEL-05-02,,DEL-05-02 — Execution Root Scaffolding + Layout Conformance,Decomposition PKG-05 Deliverables,DEL-05-02 must be complete before DEL-05-03 can proceed: folder structure must exist and match SPEC.,Procedure.md,Procedure.md > Prerequisites > PRE-01,"Execution root scaffolding is complete (DEL-05-02) -- folder structure exists and matches SPEC",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Explicit prerequisite in Procedure PRE-01.
v3.1,DEP-05-03-007,PKG-05,DEL-05-03,Lifecycle State Handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,SPEC-S3,docs/SPEC.md Section 3 — Canonical _STATUS.md format and transition rules,docs/SPEC.md,docs/SPEC.md Section 3 must be accessible and current as the canonical specification for lifecycle states and transitions.,Procedure.md,Procedure.md > Prerequisites > PRE-02,"docs/SPEC.md Section 3 is accessible and current",EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Explicit prerequisite in Procedure PRE-02. Status marked Available.
v3.1,DEP-05-03-008,PKG-05,DEL-05-03,Lifecycle State Handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,CONTRACT-KSTATUS,docs/CONTRACT.md invariants (K-STATUS-1 / K-AUTH-1 / K-AUTH-2),docs/CONTRACT.md,docs/CONTRACT.md invariants must be accessible and current as binding constraints.,Procedure.md,Procedure.md > Prerequisites > PRE-03,"docs/CONTRACT.md invariants (K-STATUS-1 K-AUTH-1 K-AUTH-2) are accessible and current",EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Explicit prerequisite in Procedure PRE-03. Status marked Available.
v3.1,DEP-05-03-009,PKG-05,DEL-05-03,Lifecycle State Handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,TYPES-S5,docs/TYPES.md Section 5 — Lifecycle state definitions,docs/TYPES.md,docs/TYPES.md Section 5 must be accessible and current for lifecycle state definitions.,Procedure.md,Procedure.md > Prerequisites > PRE-04,"docs/TYPES.md Section 5 (lifecycle state definitions) is accessible and current",EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Explicit prerequisite in Procedure PRE-04. Status marked Available.
v3.1,DEP-05-03-010,PKG-05,DEL-05-03,Lifecycle State Handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-06,DEL-06-02,,DEL-06-02 — Local Deliverable Workflow Agents (Scaffold / Doc Kit / Semantic),Decomposition PKG-06 Deliverables,Lifecycle transition authorized-actor model depends on agent definitions (PREPARATION / 4_DOCUMENTS / CHIRALITY_FRAMEWORK / WORKING_ITEMS) whose instruction conformance is governed by DEL-06-02.,Specification.md,Specification.md > Requirements > REQ-03,"State transitions MUST follow the authorized-actor table",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,FACT. Transition table in REQ-03 names specific agents whose behavior is governed by DEL-06-02. Interface: DEL-05-03 must recognize agent identities; DEL-06-02 must ensure agents invoke transitions correctly.
