DeliverableID,Path,Status,RowCount,SchemaVersion,SchemaValid
DEL-01-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-01_Build_And_Packaging/1_Working/DEL-01-01_macOS_Build_Baseline/Dependencies.csv,READABLE,9,v3.1,YES
DEL-01-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-01_Build_And_Packaging/1_Working/DEL-01-02_Unsigned_DMG_Packaging/Dependencies.csv,READABLE,8,v3.1,YES
DEL-02-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-01_FileTree_Refresh/Dependencies.csv,READABLE,6,v3.1,YES
DEL-02-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-02_Portal_Pipeline_Navigation/Dependencies.csv,READABLE,10,v3.1,YES
DEL-02-03,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-03_Operator_Toolkit_Panel/Dependencies.csv,READABLE,11,v3.1,YES
DEL-02-04,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-04_Multipane_Layout_Theme/Dependencies.csv,READABLE,9,v3.1,YES
DEL-03-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-01_Working_Root_Session_Boot/Dependencies.csv,READABLE,14,v3.1,YES
DEL-03-02,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-02_Turn_Execution_SSE_Streaming/Dependencies.csv,READABLE,14,v3.1,YES
DEL-03-03,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-03_Turn_Options_Fallback_Chains/Dependencies.csv,READABLE,8,v3.1,YES
DEL-03-04,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-04_Subagent_Governance_FailClosed/Dependencies.csv,READABLE,15,v3.1,YES
DEL-03-05,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-05_Anthropic_Provider_Integration/Dependencies.csv,READABLE,12,v3.1,YES
DEL-03-06,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-06_Outbound_Network_Guardrails/Dependencies.csv,READABLE,14,v3.1,YES
DEL-04-01,/Users/ryan/ai-env/projects/chirality-app-dev/execution/PKG-04_Attachments_Multimodal/1_Working/DEL-04-01_Attachment_Resolver_PromptMode/Dependencies.csv,READABLE,10,v3.1,YES
